WWTP Name,Pixel Count,Stream Length (m)
Manfouha Riyadh North,471,16887.57
Manfouha-Riyadh (South C2) ,470,16889.21
Manfouha-Riyadh (South C3) ,470,16889.21
Manfouha Riyadh East,471,16887.57
Manfouha-Riyadh (C4),470,16889.21
Hayer-Riyadh (I),467,16872.17
Al Heet/AlkharJ (I),472,16867.09
Al Heet/AlkharJ (II),472,16867.09
Al Heet/AlkharJ (III),472,16867.09
Refinery-Riyadh,480,16892.78
King Saud's University ,484,16901.40
Al-Imam University,491,16872.67
Diplomatic Quarter ,482,16901.67
National Guards’ Compound ,472,16875.10
Al Jazeera ,465,16883.97
Bin Salmah,480,16895.53
Taif ,1,0.00
Taif ISTP,1,0.00
Taif North,1,0.00
Hadda,491,16894.72
Urnah,481,16867.60
Wadi Al-Arj,2,29.84
UMM AL QURRA UNIVERSITY,491,16890.45
Jeddah Airport ,482,16877.76
Al Khumrah 2,467,16882.23
Al Khumrah 3,466,16867.19
Al Khumrah 4,466,16891.53
Jeddah Plant A ,481,16876.63
Jeddah Plant C ,481,16876.63
Al Jazeerah Environmental Company,467,16869.07
Beni Malik ,460,16881.87
Al Jamia ,474,16890.44
Briman ,507,16878.16
Saudia City,529,16876.26
King Abdul Aziz University,462,16877.05
King Abdul Aziz International Airport,497,16895.97
Madinah-3,469,16884.54
Al-Khaleel (1&2),466,16876.26
Yanbu ,607,16893.28
Yanbu Industrial City,605,16883.59
Buraydah 1,430,16877.41
Buraydah 2,457,16903.20
Unayzah,474,16876.29
Al Rass,469,16881.82
Al Bukayriah,475,16883.65
Al Mithnab,457,16880.04
SANG Al-Qasim,483,16890.14
Bishah,2,41.05
Tabuk-1,439,16868.44
Tabuk-2,439,16868.44
Hail,471,16903.47
Rafha,448,16871.62
Turaif,486,16879.80
Arrar ,474,16904.40
Al Bahah Phase I,2,28.19
Aqiq ,1,0.00
Saqaqa,427,16872.84
