WWTP Name,Pixel Count,Stream Length (m)
Jumeirah Palm,9,336.75
JVC TSE Polishing Plant,46,1605.98
Jebel Ali Phase I,1987,67584.12
Jebel Ali Phase II,1987,67551.18
Al Aweer (Wirsan),673,23123.85
Al Aweer (Wirsan) extenssion 1,672,22990.77
Al Aweer CW,2,42.09
Hatta,35,1342.03
Business Bay 3,91,3113.94
Wafi Mall TSE Polishing,27,907.28
Greens Residential Community,198,7208.86
 Dubai Al Ruwaya,100,3534.77
Lootah Ready Mix Facility,29,1083.03
Hassyan Power Plant,34,1079.68
Al Barari,228,8236.30
Dubai Investment Park,635,23304.88
DIP West,263,8863.22
Dubai Parks TSE Polishing,32,1099.79
Dubai Police TSE Polishing RO,8,267.06
Jebel Ali Hazardous Waste Treatment Facility,16,554.89
JAFZA (8000 m3/d),198,7077.34
JAFZA (1000 m3/d),25,889.93
JAFZA One STP,10,346.10
JAFZA Staff Accommodation,19,697.75
JAFZA  Labour Camp,70,2556.83
Hyatt Regency,8,294.55
Downtown Dubai Development - TSE RO Polishing Plant,226,8006.89
Jumeirah Golf Estates STP,464,16544.22
Deira Islands STP,37,1280.37
Reem Development Phase 1 - WWTP,147,5322.92
Emicool TSE Polishing,73,2559.73
Silicon Park TSE Polishing,29,848.53
Town Square TSE Polishing,40,1430.76
Dubai Studio City,32,1173.41
Dubai Motor City,207,7063.31
Dubai Sports City,626,22092.47
Dubai Bio Technology,49,1776.29
Knowledge Village Universities,171,6008.38
International Media Production Zone,99,3530.80
Mafraq,869,30170.35
Al Wathba 1,882,31531.27
Al Wathba 2,887,31595.09
Saih Al Hamah,3836,131966.56
Al Saad,2379,81216.78
Al Ain ,2051,74172.88
Ruwais ,367,13243.56
Masdar City,46,1350.87
Al Dhahira,11,397.82
Al Faqah,17,633.44
Al Haiar,159,6103.53
Al Khazna,50,1787.94
Al Qoaa,175,6096.39
Al waqan,50,1732.03
BuKeriayah,21,797.83
Remah,39,1361.75
Seih Ghraba ,11,399.36
Al Shweib,34,1170.51
Sweihan,17,587.10
Wadi Fili,47,1685.07
Al Khatem,35,1218.84
Ghantout,17,599.88
Al Mirfaa,221,7067.97
Mifra CW,2,28.58
Mirfa Cans Factory,15,535.92
Bainounah,24,905.13
Madient Zaied,742,26503.12
Liwa,74,2224.16
Abu Al Abyad Island,3,57.08
Sir Bani Yas Island,3,57.05
Ghuwaifat,7,214.98
Ghayathi,65,2212.52
Delma,73,2652.41
Baaya-Sila,249,8844.69
Baaya Sila Power Station ,2,31.12
Tilal Liwa ,5,169.33
Razeen Workers City,109,3547.28
Bad' Al Mutaw'ah,22,737.99
Al Rawada,3,84.40
Al Ghadeer ,40,1338.38
Yas Island,257,8776.34
Saadiyat,37,1287.25
Al Ruwais Housing Complex,604,21042.13
AL REEF PALACE,8,226.87
Mafraq Labor Camp STP,769,26490.57
